2026-04-16 18:13:17,950 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:17,950 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:23,099 | INFO | backend.src.graph_rag.graph_builder | LLM returned empty → skipping
2026-04-16 18:13:23,100 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=c1461cfa
2026-04-16 18:13:23,101 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:23,102 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:23,102 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:24,778 | INFO | backend.src.graph_rag.graph_builder | LLM returned empty → skipping
2026-04-16 18:13:24,779 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=6edb4744
2026-04-16 18:13:24,780 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:1, materials:0, relations:0
2026-04-16 18:13:24,780 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No relations found
2026-04-16 18:13:24,780 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:27,889 | INFO | backend.src.graph_rag.graph_builder | LLM → projects:1, materials:0, relations:4
2026-04-16 18:13:27,890 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=db2b3cc6
2026-04-16 18:13:27,892 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:27,892 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:27,893 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:30,528 | INFO | backend.src.graph_rag.graph_builder | LLM → projects:0, materials:1, relations:0
2026-04-16 18:13:30,528 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=c89b37fb
2026-04-16 18:13:30,529 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:30,529 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:30,529 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:32,278 | INFO | backend.src.graph_rag.graph_builder | LLM returned empty → skipping
2026-04-16 18:13:32,279 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=cb60040a
2026-04-16 18:13:32,279 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:32,280 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:32,281 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:33,624 | INFO | backend.src.graph_rag.graph_builder | LLM returned empty → skipping
2026-04-16 18:13:33,625 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=ca4638bd
2026-04-16 18:13:33,626 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:33,626 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:33,627 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:35,249 | INFO | backend.src.graph_rag.graph_builder | LLM → projects:1, materials:0, relations:0
2026-04-16 18:13:35,250 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=ef45118a
2026-04-16 18:13:35,250 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:35,250 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:35,251 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:36,783 | INFO | backend.src.graph_rag.graph_builder | LLM returned empty → skipping
2026-04-16 18:13:36,784 | INFO | backend.src.graph_rag.graph_builder | 
 Processing doc (type=None) | hash=9640259c
2026-04-16 18:13:36,785 | INFO | backend.src.graph_rag.graph_builder | Fast → projects:0, materials:0, relations:0
2026-04-16 18:13:36,785 | INFO | backend.src.graph_rag.graph_builder | Trigger LLM: No projects found
2026-04-16 18:13:36,786 | INFO | backend.src.graph_rag.graph_builder | LLM triggered...
2026-04-16 18:13:44,730 | INFO | backend.src.graph_rag.graph_builder | LLM → projects:0, materials:0, relations:12
